1.67E-01,1.43E-01,1.69E-01,1.47E-01,1.43E-01,1.33E-01,1.35E-01,1.34E-01,1.32E-01,1.39E-01,,1.44
1.50E-01,1.29E-01,1.66E-01,1.32E-01,1.28E-01,2.06E-01,1.22E-01,1.19E-01,1.20E-01,1.26E-01,,1.40
1.19E-01,1.01E-01,1.58E-01,1.06E-01,1.01E-01,2.01E-01,9.71E-02,9.33E-02,9.63E-02,1.01E-01,,1.17
7.83E-02,6.50E-02,1.31E-01,6.80E-02,6.39E-02,1.52E-01,6.16E-02,5.98E-02,6.08E-02,2.95E-01,,1.03
3.26E-02,2.55E-02,7.83E-02,2.78E-02,2.54E-02,1.47E-01,2.43E-02,2.43E-02,4.19E-01,5.55E-02,,0.86
4.73E-01,1.00E-02,3.74E-02,1.07E-02,9.74E-03,1.04E-01,9.49E-03,9.75E-03,2.51E-02,4.26E-02,,0.73
1.35E-02,3.24E-03,1.39E-02,3.41E-03,3.10E-03,3.25E-01,3.04E-03,3.30E-03,2.19E-02,2.66E-02,,0.42
1.41E-02,1.32E-03,5.25E-03,1.36E-03,1.26E-03,6.17E-02,1.26E-03,1.41E-03,1.84E-02,4.53E-01,,0.56
1.07E-02,2.18E-04,1.23E-03,2.08E-04,1.95E-04,4.94E-02,6.17E-01,2.70E-04,1.17E-02,2.29E-02,,0.71
8.81E-03,6.74E-05,3.48E-04,6.09E-05,6.09E-05,3.36E-02,9.81E-04,6.24E-01,8.35E-03,2.65E-02,,0.70
5.70E-03,4.59E-06,6.36E-01,8.41E-06,6.58E-06,1.80E-02,1.30E-03,4.06E-04,4.60E-03,2.20E-02,,0.69
4.83E-03,6.25E-08,3.93E-04,1.35E-07,6.40E-01,1.05E-02,2.39E-03,1.40E-03,3.59E-03,1.83E-02,,0.68
3.91E-03,3.13E-06,1.03E-03,1.50E-06,3.83E-04,5.93E-03,3.09E-03,5.65E-01,2.72E-03,1.34E-02,,0.60
1.33E-03,1.78E-04,4.95E-04,2.04E-04,2.34E-04,1.59E-03,5.79E-01,4.94E-03,7.19E-04,6.02E-03,,0.59
8.14E-04,1.98E-04,6.29E-04,2.26E-04,5.27E-04,6.16E-04,5.30E-01,9.25E-03,3.84E-04,3.46E-03,,0.55
7.50E-04,9.51E-05,9.78E-04,1.12E-04,1.10E-03,3.85E-04,2.33E-02,4.71E-01,3.85E-04,2.45E-03,,0.50
5.60E-04,6.54E-01,1.06E-03,8.73E-05,1.36E-03,1.84E-04,4.05E-02,3.26E-02,2.82E-04,1.55E-03,,0.73
1.40E-04,3.32E-07,6.03E-01,2.64E-04,8.46E-04,4.64E-07,4.28E-02,4.28E-02,3.07E-05,4.92E-04,,0.69
6.72E-05,1.15E-04,2.43E-03,2.67E-04,7.69E-04,1.07E-05,3.59E-02,4.16E-02,6.36E-01,2.27E-04,,0.72
1.37E-04,6.48E-04,5.27E-01,1.05E-04,1.06E-03,4.66E-08,2.64E-02,3.33E-02,7.65E-04,2.71E-04,,0.59
2.22E-05,6.58E-04,1.65E-02,2.14E-04,6.17E-04,4.29E-05,4.61E-01,2.02E-02,1.26E-03,5.15E-05,,0.50
5.44E-05,1.10E-03,2.87E-02,9.91E-05,7.34E-04,1.17E-05,2.51E-02,1.23E-02,2.42E-03,6.26E-01,,0.70
9.45E-05,1.44E-03,3.35E-02,3.82E-05,7.96E-04,8.27E-07,2.90E-02,5.11E-01,3.27E-03,9.79E-04,,0.58
1.31E-05,1.03E-03,2.74E-02,1.02E-04,4.21E-04,6.49E-01,2.40E-02,1.05E-02,2.78E-03,1.63E-03,,0.72
1.67E-09,7.57E-04,1.93E-02,6.60E-01,2.24E-04,5.97E-05,1.69E-02,1.20E-02,2.23E-03,2.07E-03,,0.71
1.29E-08,6.87E-04,1.24E-02,1.71E-05,6.18E-01,4.51E-04,1.12E-02,1.19E-02,1.99E-03,2.57E-03,,0.66
4.25E-04,2.09E-03,1.15E-02,1.48E-03,3.42E-03,5.60E-01,1.10E-02,1.48E-02,3.95E-03,5.43E-03,,0.61
2.28E-08,4.78E-04,4.05E-03,6.67E-04,2.68E-03,4.70E-03,5.44E-01,7.60E-03,1.30E-03,2.48E-03,,0.57
3.45E-05,6.79E-04,2.85E-03,1.45E-03,4.62E-03,4.87E-01,8.85E-03,6.35E-03,1.46E-03,2.79E-03,,0.52
6.40E-01,3.09E-04,1.14E-03,1.21E-03,4.23E-03,2.94E-02,1.01E-02,3.58E-03,7.81E-04,1.79E-03,,0.69
2.32E-04,1.50E-04,4.43E-04,1.01E-03,5.47E-01,4.43E-02,9.85E-03,2.03E-03,4.14E-04,1.13E-03,,0.61
